python-dotenv could not parse statement starting at line 14
python-dotenv could not parse statement starting at line 14
== Cloudinary migration  ==
SKIPPED: [talents/0395c9ff-2e6c-4cc1-9060-970a0be3727a/ba037d2d-8254-4da5-90f0-15a88e0e6a0f] → already-migrated
SKIPPED: [talents/0395c9ff-2e6c-4cc1-9060-970a0be3727a/fcd1d16b-09c0-4336-8b37-cccf2889b75f] → already-migrated
SKIPPED: [talents/0395c9ff-2e6c-4cc1-9060-970a0be3727a/859542b8-6160-45ca-993d-b2f8a7d6f40b] → already-migrated
SKIPPED: [talents/0395c9ff-2e6c-4cc1-9060-970a0be3727a/65df4de4-e4dd-4361-b204-6e00bcddbceb] → already-migrated
SKIPPED: [talents/0395c9ff-2e6c-4cc1-9060-970a0be3727a/d7f097f9-44ac-4daf-b09a-653b689f1ba4] → already-migrated
SKIPPED: [talents/0395c9ff-2e6c-4cc1-9060-970a0be3727a/70079151-1f56-4c03-b1a3-7f51fcb8d5df] → already-migrated
SKIPPED: [talents/0395c9ff-2e6c-4cc1-9060-970a0be3727a/0aae5903-03d5-4c84-bc79-42d74d150ee3] → already-migrated
SKIPPED: [talents/8275939b-58bb-4e3a-9cac-7517d18c6fd8/77f866c2-a79e-435d-9707-68339dc99da5] → already-migrated
SKIPPED: [talents/8275939b-58bb-4e3a-9cac-7517d18c6fd8/67255b9c-f998-4831-adaa-c0f9323054ca] → already-migrated
SKIPPED: [talents/8275939b-58bb-4e3a-9cac-7517d18c6fd8/df6a298d-b0cc-4927-b229-fb031e65cf5a] → already-migrated
SKIPPED: [talents/8275939b-58bb-4e3a-9cac-7517d18c6fd8/7f601d2c-13b2-48a8-9424-4104bc54e2f3] → already-migrated
SKIPPED: [talents/8275939b-58bb-4e3a-9cac-7517d18c6fd8/a2d849c9-2c2e-4f3f-9b6f-285c801ed0da] → already-migrated
SKIPPED: [talents/9708389c-6c53-4ea0-9355-e595c46e7950/05d98020-1b7e-4512-8408-c31ae2098141] → already-migrated
SKIPPED: [talents/9708389c-6c53-4ea0-9355-e595c46e7950/4a9d5248-4408-459d-9292-e3f63e9a072a] → already-migrated
SKIPPED: [talents/9708389c-6c53-4ea0-9355-e595c46e7950/b6b47f32-9c84-435b-b9df-4508c3f7b984] → already-migrated
SKIPPED: [talents/9708389c-6c53-4ea0-9355-e595c46e7950/b1bea911-e9e8-46a0-b54c-192045648424] → already-migrated
SKIPPED: [talents/9708389c-6c53-4ea0-9355-e595c46e7950/a5c9991e-591d-4458-b9bb-6b7d3357afbe] → already-migrated
SKIPPED: [talents/9708389c-6c53-4ea0-9355-e595c46e7950/12b02a4a-3c1e-4d2e-afd3-98657c243077] → already-migrated
SKIPPED: [talents/9708389c-6c53-4ea0-9355-e595c46e7950/ef4787e2-2697-41f0-802f-512549158e71] → already-migrated
SKIPPED: [talents/9708389c-6c53-4ea0-9355-e595c46e7950/205b7ca3-881e-441f-9d4f-7d633af1fc91] → already-migrated
SKIPPED: [talents/c327d1db-f2e7-4d66-9a3b-80a9a9b59e2a/afcd815f-11b7-4923-8768-cefea86b3957] → already-migrated
SKIPPED: [talents/c327d1db-f2e7-4d66-9a3b-80a9a9b59e2a/0d73524c-3873-41d5-b621-8cfb3b9b1071] → already-migrated
SKIPPED: [talents/c327d1db-f2e7-4d66-9a3b-80a9a9b59e2a/8547c47a-e214-4f6b-b16b-031b265ac7da] → already-migrated
2026-04-28 19:29:37,743 - ERROR - Cloudinary upload failed (folder=talentgram/talents/c327d1db-f2e7-4d66-9a3b-80a9a9b59e2a pid=38441928-7c0d-4b5c-8a8f-d121bd57eecf): File size too large. Got 12720651. Maximum is 10485760. Upgrade your plan to enjoy higher limits https://www.cloudinary.com/pricing/upgrades/file-limit
2026-04-28 19:29:39,017 - ERROR - Cloudinary upload failed (folder=talentgram/talents/c327d1db-f2e7-4d66-9a3b-80a9a9b59e2a pid=38441928-7c0d-4b5c-8a8f-d121bd57eecf): File size too large. Got 12720651. Maximum is 10485760. Upgrade your plan to enjoy higher limits https://www.cloudinary.com/pricing/upgrades/file-limit
2026-04-28 19:29:40,916 - ERROR - Cloudinary upload failed (folder=talentgram/talents/c327d1db-f2e7-4d66-9a3b-80a9a9b59e2a pid=38441928-7c0d-4b5c-8a8f-d121bd57eecf): File size too large. Got 12720651. Maximum is 10485760. Upgrade your plan to enjoy higher limits https://www.cloudinary.com/pricing/upgrades/file-limit
FAILED:  [talents/c327d1db-f2e7-4d66-9a3b-80a9a9b59e2a/38441928-7c0d-4b5c-8a8f-d121bd57eecf] → HTTPException: 502: Storage upload failed
SKIPPED: [talents/c327d1db-f2e7-4d66-9a3b-80a9a9b59e2a/cb950ed1-227e-4ef0-807d-688de0115611] → already-migrated
SKIPPED: [talents/c327d1db-f2e7-4d66-9a3b-80a9a9b59e2a/a5d8ef20-fb18-4ca1-8af1-94a85242655e] → already-migrated
SKIPPED: [talents/c327d1db-f2e7-4d66-9a3b-80a9a9b59e2a/bd8751dc-2363-4539-9812-fa2dd17177ff] → already-migrated
SKIPPED: [talents/c327d1db-f2e7-4d66-9a3b-80a9a9b59e2a/8be40f79-85ea-4139-adf9-9750f5345572] → already-migrated
SKIPPED: [talents/8b1e91b9-d3d3-4454-ba4c-5e41be8f1069/16fe24be-5369-4e20-af7d-3c53dc1d3e92] → already-migrated
SKIPPED: [talents/8b1e91b9-d3d3-4454-ba4c-5e41be8f1069/865ac5b5-817a-493e-b14a-01e57d7b6107] → already-migrated
SKIPPED: [talents/8b1e91b9-d3d3-4454-ba4c-5e41be8f1069/62374d3b-d21c-4a34-ba38-5a90b883414c] → already-migrated
SKIPPED: [talents/8b1e91b9-d3d3-4454-ba4c-5e41be8f1069/d99e97ca-2efe-4361-88f7-e7b680eb94e5] → already-migrated
SKIPPED: [talents/8b1e91b9-d3d3-4454-ba4c-5e41be8f1069/a181a58a-2dbe-4c0c-a412-775bf41304d6] → already-migrated
SKIPPED: [talents/8b1e91b9-d3d3-4454-ba4c-5e41be8f1069/c78a5201-ee44-4720-b8c0-82d806228e08] → already-migrated
SKIPPED: [talents/8b1e91b9-d3d3-4454-ba4c-5e41be8f1069/9d5cd2a5-722c-477d-94ef-404902e33df0] → already-migrated
SKIPPED: [talents/8b1e91b9-d3d3-4454-ba4c-5e41be8f1069/b9e91686-13e1-4629-90d4-95a464a046d0] → already-migrated
SKIPPED: [talents/efa140b2-c975-4458-a4cb-1270727afd88/cbe78dc7-22a7-424e-97a7-21a119f9aea5] → already-migrated
SKIPPED: [talents/efa140b2-c975-4458-a4cb-1270727afd88/21a8c4f9-998b-4f79-a010-00edb771f6bc] → already-migrated
SKIPPED: [talents/efa140b2-c975-4458-a4cb-1270727afd88/abbb9cd4-24c5-42f1-ac19-3839af0d9762] → already-migrated
SKIPPED: [talents/efa140b2-c975-4458-a4cb-1270727afd88/e8bde4e4-6185-4d25-a87e-1133d148bfa7] → already-migrated
SKIPPED: [talents/efa140b2-c975-4458-a4cb-1270727afd88/59bba785-5154-4ff3-9c14-f2ec853be197] → already-migrated
SKIPPED: [talents/efa140b2-c975-4458-a4cb-1270727afd88/d8c8b3bd-6949-4e88-876e-aab212fc0b63] → already-migrated
SKIPPED: [talents/efa140b2-c975-4458-a4cb-1270727afd88/41d51a78-a518-4e9a-b2e7-6ed18b74b325] → already-migrated
SKIPPED: [talents/efa140b2-c975-4458-a4cb-1270727afd88/6ee51ea7-e907-40d8-91e1-be46b81e7c93] → already-migrated
SKIPPED: [talents/efa140b2-c975-4458-a4cb-1270727afd88/389d6648-54d8-493a-a8a0-7b00f74a5e5e] → already-migrated
SKIPPED: [submissions/133b702c-06b0-4afa-887d-3c3293ffe0a4/72e846ac-24fa-43d7-a827-48f7c5cfa398] → already-migrated
SKIPPED: [submissions/133b702c-06b0-4afa-887d-3c3293ffe0a4/2e7f8b8f-dede-4f31-9c25-ab7ee151a792] → already-migrated
SKIPPED: [submissions/133b702c-06b0-4afa-887d-3c3293ffe0a4/1ce1a365-254a-404f-9ada-e5f19441568a] → already-migrated
SKIPPED: [submissions/133b702c-06b0-4afa-887d-3c3293ffe0a4/3507f6e1-e72c-49d4-b226-68ea6fe3331b] → already-migrated
SKIPPED: [submissions/133b702c-06b0-4afa-887d-3c3293ffe0a4/a7177f0f-9dab-4382-9e7b-c815496f0ebe] → already-migrated
SKIPPED: [submissions/133b702c-06b0-4afa-887d-3c3293ffe0a4/fe97c3d6-9810-48ca-89ff-d3d5752bb8ec] → already-migrated
SKIPPED: [submissions/133b702c-06b0-4afa-887d-3c3293ffe0a4/2d4d9fcb-e78b-47cb-899c-af724643d715] → already-migrated
SKIPPED: [submissions/133b702c-06b0-4afa-887d-3c3293ffe0a4/b5a7c4d2-58b5-439d-9814-cd35c9ed374e] → already-migrated
SKIPPED: [submissions/133b702c-06b0-4afa-887d-3c3293ffe0a4/bcae568b-0250-4af7-9274-64c10b708a04] → already-migrated
SKIPPED: [submissions/46e45645-bca6-4e77-b4c1-ed4f2bb7e6c0/2af35c83-3634-4126-9499-62877f6ad96e] → already-migrated
SKIPPED: [submissions/46e45645-bca6-4e77-b4c1-ed4f2bb7e6c0/fbaf4b61-d65d-449e-9ded-8b0a5df9e561] → already-migrated
SKIPPED: [submissions/46e45645-bca6-4e77-b4c1-ed4f2bb7e6c0/4ac33310-1a59-4503-8d78-d25387bdf458] → already-migrated
SKIPPED: [submissions/000f4df9-0f3d-4f74-a75c-70dbccc53f74/070bcbc6-65e4-4afc-9bb4-acae7fb7198c] → already-migrated
SKIPPED: [submissions/000f4df9-0f3d-4f74-a75c-70dbccc53f74/b24a9960-872c-440e-a3be-6a8f0a08311a] → already-migrated
SKIPPED: [submissions/000f4df9-0f3d-4f74-a75c-70dbccc53f74/ab3d191d-934a-428d-bb8b-08eec65d01be] → already-migrated
SKIPPED: [submissions/000f4df9-0f3d-4f74-a75c-70dbccc53f74/ccd404d8-7e7e-47b5-8e61-b8245407edef] → already-migrated
SKIPPED: [submissions/000f4df9-0f3d-4f74-a75c-70dbccc53f74/9a3d1529-244d-4981-938b-4fc04ea75a63] → already-migrated
SKIPPED: [submissions/000f4df9-0f3d-4f74-a75c-70dbccc53f74/ecd49612-7272-4a61-8bdc-661003833bcc] → already-migrated
SKIPPED: [submissions/000f4df9-0f3d-4f74-a75c-70dbccc53f74/03c2c39b-83c3-4099-82e2-e697f20c4e09] → already-migrated
SKIPPED: [submissions/000f4df9-0f3d-4f74-a75c-70dbccc53f74/94a11305-b1ec-43db-9f74-1a161a977f79] → already-migrated
SKIPPED: [submissions/000f4df9-0f3d-4f74-a75c-70dbccc53f74/7f5a3e91-7ef0-4dfc-a214-2521931d0f2c] → already-migrated
SKIPPED: [submissions/0afcc7e6-bead-4b7e-ba9f-c58dc080118a/cecfeac6-e82a-48fa-a276-e058be675ee7] → already-migrated
SKIPPED: [submissions/0afcc7e6-bead-4b7e-ba9f-c58dc080118a/102a8e89-aefe-4290-87a3-28a7f6239684] → already-migrated
SKIPPED: [submissions/0afcc7e6-bead-4b7e-ba9f-c58dc080118a/a6af48c6-2311-4762-bfd8-f858a2cd5cc4] → already-migrated
SKIPPED: [submissions/0afcc7e6-bead-4b7e-ba9f-c58dc080118a/d39e15bd-7dfd-44f4-871f-b83690819198] → already-migrated
SKIPPED: [submissions/0afcc7e6-bead-4b7e-ba9f-c58dc080118a/3de25d29-e7d7-4a2f-b1e1-75f928a42b65] → already-migrated
SKIPPED: [submissions/0afcc7e6-bead-4b7e-ba9f-c58dc080118a/96b1e3c8-34ad-413e-b949-0ffe7ac02f31] → already-migrated
SKIPPED: [submissions/0afcc7e6-bead-4b7e-ba9f-c58dc080118a/a2ff03ff-dfdb-4637-965e-6b9633f6b927] → already-migrated
SKIPPED: [submissions/0afcc7e6-bead-4b7e-ba9f-c58dc080118a/a6edef91-e590-4dfd-b551-8f24f30b92fb] → already-migrated
SKIPPED: [submissions/0afcc7e6-bead-4b7e-ba9f-c58dc080118a/51835087-0b5c-4779-9faa-5706191817d5] → already-migrated
SKIPPED: [submissions/c1193804-47a5-4d92-a699-6e8731a583b0/99692d0e-cdc2-42d1-9c70-68338340bfea] → already-migrated
SKIPPED: [submissions/c1193804-47a5-4d92-a699-6e8731a583b0/a8a79950-6ff5-46a7-b64b-1d55e0b470b5] → already-migrated
SKIPPED: [submissions/c1193804-47a5-4d92-a699-6e8731a583b0/1cf20ee6-ff8c-43dd-96f3-d944e482fdbf] → already-migrated
SKIPPED: [submissions/c1193804-47a5-4d92-a699-6e8731a583b0/bbe49a4b-d51f-424e-b4dd-9657c88101d9] → already-migrated
